Oshawa YEAR-TO-DATE 2016
Types, Sales, Dollar Amount, Average Price, Median Price, New Listings, Avg SP/LP, Avg DOM
All Home Types,3495, 1550502967, 443635, 420000, 4213,105%,10
Detached,2568, 1247758195, 485852,460000, 3156, 104%, 11
Semi-Detached ,385, 133575741, 346950,346000,439,109%,8
Condomnium Townhouse, 242, 59230257, 244753, 23000, 267, 106%, 12
Condominium Apartment, 76, 18460501, 242901, 222000, 86, 102%, 16
Link, 68, 25753418, 378727, 380000, 75, 106%, 8
Att/Row/Townhouse, 154, 64842355, 421054, 422500, 190, 106%, 8
Co-Operative Apartment 0 - - - 0 - -
Detached Condominium 0 - - - 0 - -
Co-Ownership Apartment 0 - - - 0 - -


source, Central Lake Association
