,,,"Oshawa, City [Census subdivision], Ontario",,,,,,"Durham, Regional municipality [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Labour force status","Total - Population aged 15 years and over by Labour force status - 25% sample data",163,  131110,,   63490,,   67625,,  523485,,  252970,,  270515,
"Labour force status","  In the labour force",,   81425,,   41840,,   39585,,  352750,,  180575,,  172180,
"Labour force status","    Employed",,   73470,,   37550,,   35920,,  324375,,  165625,,  158750,
"Labour force status","    Unemployed",,    7955,,    4295,,    3660,,   28380,,   14950,,   13425,
"Labour force status","  Not in the labour force",,   49685,,   21645,,   28040,,  170735,,   72395,,   98335,
"Labour force status","Participation rate",, 62.1,, 65.9,, 58.5,, 67.4,, 71.4,, 63.6,
"Labour force status","Employment rate",, 56.0,, 59.1,, 53.1,, 62.0,, 65.5,, 58.7,
"Labour force status","Unemployment rate",,  9.8,, 10.3,,  9.2,,  8.0,,  8.3,,  7.8,
"Work activity during the reference year","Total population aged 15 years and over by work activity during the reference year - 25% sample data",164,  131110,,   63485,,   67625,,  523485,,  252970,,  270515,
"Work activity during the reference year","  Did not work",165,   48315,,   20775,,   27540,,  163425,,   68900,,   94530,
"Work activity during the reference year","  Worked",,   82795,,   42715,,   40090,,  360060,,  184070,,  175990,
"Work activity during the reference year","    Worked full year; full time",166,   43840,,   24680,,   19160,,  195635,,  108955,,   86680,
"Work activity during the reference year","    Worked part year and/or part time",167,   38955,,   18030,,   20925,,  164420,,   75120,,   89305,
"Work activity during the reference year","Average weeks worked in reference year",, 43.2,, 43.7,, 42.7,, 43.3,, 44.0,, 42.7,
"Class of worker","Total labour force aged 15 years and over by class of worker - 25% sample data",168,   81425,,   41840,,   39585,,  352750,,  180575,,  172180,
"Class of worker","  Class of worker - not applicable",169,    2590,,    1190,,    1400,,    9010,,    4320,,    4690,
"Class of worker","  All classes of workers",170,   78840,,   40650,,   38185,,  343740,,  176250,,  167490,
"Class of worker","    Employee",,   71875,,   36170,,   35705,,  309055,,  154255,,  154805,
"Class of worker","    Self-employed",171,    6965,,    4475,,    2485,,   34690,,   22000,,   12685,
"Occupation - National Occupational Classification (NOC) 2016","Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data",172,   81425,,   41835,,   39585,,  352750,,  180570,,  172175,
"Occupation - National Occupational Classification (NOC) 2016","  Occupation - not applicable",169,    2590,,    1190,,    1400,,    9010,,    4320,,    4690,
"Occupation - National Occupational Classification (NOC) 2016","  All occupations",170,   78840,,   40650,,   38185,,  343740,,  176255,,  167490,
"Occupation - National Occupational Classification (NOC) 2016","    0 Management occupations",,    7250,,    4270,,    2980,,   40195,,   24155,,   16040,
"Occupation - National Occupational Classification (NOC) 2016","    1 Business; finance and administration occupations",,   11775,,    3235,,    8540,,   57860,,   16330,,   41530,
"Occupation - National Occupational Classification (NOC) 2016","    2 Natural and applied sciences and related occupations",,    4000,,    3200,,     800,,   22520,,   17760,,    4760,
