,,,"Oshawa, City [Census subdivision], Ontario",,,,,,"Durham, Regional municipality [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,  131115,,   63485,,   67625,,  523485,,  252970,,  270515,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,  124955,,   60595,,   64360,,  497400,,  240370,,  257030,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   33492,,   41242,,   27579,,   37755,,   45591,,   31227,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,  125000,,   60595,,   64400,,  497580,,  240385,,  257195,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   30538,,   36701,,   25679,,   33943,,   40114,,   28634,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,  108970,,   54210,,   54760,,  450935,,  222785,,  228150,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   32057,,   40541,,   24781,,   36606,,   44922,,   29097,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,   93450,,   41740,,   51705,,  349685,,  151985,,  197700,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    6218,,    3813,,    7203,,    3840,,    1631,,    5014,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,   91675,,   47865,,   43805,,  385985,,  197510,,  188480,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   32111,,   37893,,   27382,,   37704,,   44472,,   32281,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,  131115,,   63485,,   67625,,  523485,,  252970,,  270515,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,  124845,,   60510,,   64340,,  496955,,  239905,,  257050,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   42552,,   50274,,   35289,,   49018,,   58216,,   40434,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,  124890,,   60510,,   64380,,  497145,,  239925,,  257220,
