Ontario — Household Income - Income Ranges (Before Taxes)  
2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
Barrie,"4,560","10,080","11,045","10,205","9,160","27,490","72,535",
Bracebridge T,525,"1,180","1,180",950,945,"1,955","6,730",
Brantford,"4,185","9,655","8,985","7,520","6,350","15,840","52,530",
Brighton MU,280,810,850,935,585,"1,320","4,780",
Brock TP,375,745,710,670,550,"1,485","4,540",
Brockville,"1,750","3,390","3,110","2,505","1,905","4,250","16,910",
Centre Wellington,525,"1,355","1,620","1,510","1,430","4,380","10,820",
Chatham-Kent,"4,795","9,035","8,405","6,325","4,690","9,930","43,175",
Cobourg,720,"1,685","1,610","1,315","1,045","2,265","8,640",
Collingwood,880,"1,835","1,695","1,505","1,055","2,590","9,560",
Cornwall,"3,450","6,555","4,845","3,820","2,585","4,825","26,080",
Elliot Lake,775,"1,795","1,125",660,355,810,"5,515",
Erin T,180,370,415,455,520,"2,170","4,110",
Gravenhurst T,545,"1,035",945,755,575,"1,170","5,015",
Greater Napanee T,595,"1,340","1,165","1,015",745,"1,715","6,580",
Greater Sudbury / Grand Sudbury,"6,980","11,405","11,140","9,240","7,835","23,840","70,445",
Guelph,"4,455","7,935","8,830","7,915","7,140","23,005","59,280",
Haldimand County CY,"1,115","2,700","2,795","2,565","2,345","5,980","17,505",
Hamilton,"24,575","46,215","45,200","38,895","33,130","105,330","293,345",
Hawkesbury,"1,080","1,625","1,090",720,460,775,"5,745",
Huntsville T,690,"1,380","1,340","1,290","1,105","2,305","8,110",
Ingersoll,355,730,845,785,725,"1,655","5,085",
Kawartha Lakes,"2,635","5,550","5,515","4,985","3,675","8,745","31,105",
Kenora,525,"1,055",960,"1,000",795,"2,145","6,475",
Kincardine MU,305,675,675,600,515,"2,085","4,855",
Kingston,"6,250","11,050","11,040","9,530","8,675","21,370","67,915",
Kitchener - Cambridge - Waterloo,"15,370","29,345","31,280","28,120","24,495","71,885","200,495",
Lambton Shores MU,345,915,825,745,565,"1,395","4,785",
London,"22,915","37,060","35,905","28,760","23,400","58,410","206,450",
Meaford MU,445,885,840,755,600,"1,305","4,830",
Midland,"1,545","3,265","3,000","2,295","1,690","3,380","15,180",
Norfolk,"2,110","4,690","4,665","4,080","3,170","7,280","26,005",
North Bay,"3,195","5,800","5,055","4,320","3,440","8,310","30,125",
North Perth MU,315,900,935,815,685,"1,450","5,100",
Orillia,"1,630","2,980","2,705","1,885","1,400","2,880","13,480",
Oshawa,"8,375","17,395","19,940","18,550","17,335","57,370","138,960",
Ottawa,"31,640","44,205","48,940","47,830","44,555","156,585","373,755",
Owen Sound,"1,630","2,950","2,560","2,035","1,450","3,265","13,885",
Pembroke,"1,100","1,910","1,785","1,545","1,065","2,510","9,915",
Petawawa,180,525,620,"1,470","1,090","2,450","6,335",
Peterborough,"4,965","9,655","8,740","7,505","5,710","13,955","50,535",
Port Hope,560,"1,140","1,155","1,055",950,"2,215","7,075",
Prince Edward County CY,850,"1,995","1,865","1,815","1,340","2,870","10,730",
Sarnia,"4,105","6,970","6,660","5,850","4,735","13,670","41,990",
Saugeen Shores T,470,735,815,710,615,"2,680","6,025",
Sault Ste. Marie,"3,780","7,030","6,005","4,650","3,625","9,440","34,530",
Scugog TP,465,960,"1,060","1,130",950,"3,660","8,220",
St. Catharines - Niagara,"16,390","32,640","31,100","24,750","19,330","44,270","168,485",
Stratford,"1,305","2,485","2,610","2,150","1,565","3,745","13,845",
The Nation / La Nation M,260,515,660,715,670,"1,945","4,765",
Thunder Bay,"5,210","9,055","8,755","7,200","6,110","16,210","52,545",
Tillsonburg,685,"1,525","1,430","1,215",710,"1,565","7,130",
Timmins,"1,590","3,180","2,715","1,950","1,890","6,410","17,740",
Toronto,"205,390","303,990","305,830","273,140","235,660","811,900","2,135,910",
Trent Hills MU,530,"1,115","1,140",850,665,"1,215","5,505",
West Grey MU,410,"1,010",985,815,580,"1,275","5,070",
West Nipissing / Nipissing Ouest M,775,"1,430","1,185",715,705,"1,470","6,280",
Windsor,"14,890","22,780","22,920","17,910","14,765","39,655","132,920",
Woodstock,"1,475","2,825","3,290","2,460","2,275","4,820","17,150",
Ontario,"475,000","800,365","797,955","699,720","592,875","1,803,255","5,169,175",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
