Ontario — Household Size  
2016 Tenure - Total
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total,
Barrie,"15,325","23,775","13,145","12,890","7,400","72,535",
Bracebridge T,"1,850","2,745",900,835,405,"6,730",
Brantford,"13,525","18,205","8,600","7,595","4,605","52,530",
Brighton MU,"1,090","2,245",635,500,305,"4,780",
Brock TP,"1,125","1,695",655,635,425,"4,540",
Brockville,"5,100","6,770","2,365","1,785",885,"16,910",
Centre Wellington,"2,415","4,175","1,565","1,695",970,"10,820",
Chatham-Kent,"12,845","16,485","5,860","5,065","2,920","43,175",
Cobourg,"2,755","3,525","1,130",805,420,"8,640",
Collingwood,"3,015","3,750","1,215","1,060",515,"9,560",
Cornwall,"8,250","10,000","3,590","2,750","1,500","26,080",
Elliot Lake,"2,130","2,420",490,315,160,"5,515",
Erin T,635,"1,525",730,800,415,"4,110",
Gravenhurst T,"1,410","2,210",665,480,240,"5,015",
Greater Napanee T,"1,775","2,670",920,770,440,"6,580",
Greater Sudbury / Grand Sudbury,"20,755","26,130","10,615","9,140","3,805","70,445",
Guelph,"15,170","19,785","9,660","9,500","5,170","59,280",
Haldimand County CY,"3,875","6,645","2,690","2,580","1,715","17,505",
Hamilton,"79,445","96,080","46,920","45,170","25,735","293,345",
Hawkesbury,"2,255","2,150",680,440,230,"5,745",
Huntsville T,"2,020","3,305","1,210","1,050",520,"8,110",
Ingersoll,"1,275","1,855",800,755,400,"5,085",
Kawartha Lakes,"7,695","13,330","4,420","3,635","2,030","31,105",
Kenora,"2,065","2,315",890,815,385,"6,475",
Kincardine MU,"1,410","1,910",610,620,305,"4,855",
Kingston,"19,840","25,560","10,145","8,355","4,025","67,915",
Kitchener - Cambridge - Waterloo,"49,365","66,650","33,170","32,620","18,695","200,495",
Lambton Shores MU,"1,355","2,245",525,425,230,"4,785",
London,"62,210","71,790","30,625","27,020","14,800","206,450",
Meaford MU,"1,280","2,180",620,535,215,"4,830",
Midland,"4,215","6,165","2,240","1,720",835,"15,180",
Norfolk,"6,645","10,775","3,615","3,030","1,940","26,005",
North Bay,"8,695","11,845","4,375","3,505","1,705","30,125",
North Perth MU,"1,315","1,890",700,670,525,"5,100",
Orillia,"4,475","4,900","1,960","1,350",790,"13,480",
Oshawa,"29,650","43,795","25,060","25,885","14,575","138,960",
Ottawa,"105,745","124,310","57,990","55,215","30,495","373,755",
Owen Sound,"4,395","5,405","1,835","1,455",790,"13,885",
Pembroke,"3,030","3,750","1,430","1,125",580,"9,915",
Petawawa,"1,390","2,225","1,115","1,120",485,"6,335",
Peterborough,"13,885","19,600","7,395","6,315","3,345","50,535",
Port Hope,"1,920","2,860","1,060",865,370,"7,075",
Prince Edward County CY,"2,720","5,035","1,375","1,040",555,"10,730",
Sarnia,"12,830","16,165","5,600","4,940","2,455","41,990",
Saugeen Shores T,"1,700","2,605",745,680,300,"6,025",
Sault Ste. Marie,"10,990","12,770","5,185","3,945","1,645","34,530",
Scugog TP,"1,645","3,160","1,345","1,370",705,"8,220",
St. Catharines - Niagara,"48,235","62,175","25,285","21,230","11,565","168,485",
Stratford,"4,640","4,975","1,935","1,555",740,"13,845",
The Nation / La Nation M,875,"1,830",835,810,415,"4,765",
Thunder Bay,"16,720","18,880","7,665","6,280","3,000","52,545",
Tillsonburg,"2,240","2,900",895,740,345,"7,130",
Timmins,"5,125","6,510","2,745","2,330","1,035","17,740",
Toronto,"519,930","598,720","373,885","377,120","266,255","2,135,910",
Trent Hills MU,"1,415","2,460",715,585,325,"5,505",
West Grey MU,"1,210","2,180",665,625,390,"5,070",
West Nipissing / Nipissing Ouest M,"1,835","2,615",830,695,310,"6,280",
Windsor,"39,050","43,360","20,230","18,810","11,475","132,920",
Woodstock,"5,025","6,255","2,525","2,245","1,095","17,150",
Ontario,"1,341,115","1,693,880","834,395","796,435","503,350","5,169,175",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
