,,,"Oshawa, City [Census subdivision], Ontario",,,,,,"Durham, Regional municipality [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Household characteristics","Total - Private households by tenure - 25% sample data",130,   62595,,,...,,...,  227905,,,...,,...
"Household characteristics","  Owner",,   42875,,,...,,...,  184965,,,...,,...
"Household characteristics","  Renter",,   19720,,,...,,...,   42930,,,...,,...
"Household characteristics","  Band housing",,       0,,,...,,...,      10,,,...,,...
"Household characteristics","Total - Occupied private dwellings by condominium status - 25% sample data",131,   62595,,,...,,...,  227910,,,...,,...
"Household characteristics","  Condominium",,    3835,,,...,,...,   16865,,,...,,...
"Household characteristics","  Not condominium",,   58755,,,...,,...,  211040,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of bedrooms - 25% sample data",132,   62595,,,...,,...,  227905,,,...,,...
"Household characteristics","  No bedrooms",,     225,,,...,,...,     450,,,...,,...
"Household characteristics","  1 bedroom",,    5945,,,...,,...,   13635,,,...,,...
"Household characteristics","  2 bedrooms",,   12455,,,...,,...,   31865,,,...,,...
"Household characteristics","  3 bedrooms",,   26850,,,...,,...,   96835,,,...,,...
"Household characteristics","  4 or more bedrooms",,   17115,,,...,,...,   85130,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of rooms - 25% sample data",133,   62595,,,...,,...,  227910,,,...,,...
"Household characteristics","  1 to 4 rooms",,   12385,,,...,,...,   31690,,,...,,...
"Household characteristics","  5 rooms",,    9170,,,...,,...,   29665,,,...,,...
"Household characteristics","  6 rooms",,   11020,,,...,,...,   38345,,,...,,...
"Household characteristics","  7 rooms",,   10345,,,...,,...,   38075,,,...,,...
"Household characteristics","  8 or more rooms",,   19680,,,...,,...,   90130,,,...,,...
"Household characteristics","Average number of rooms per dwelling",,  6.5,,,...,,...,  7.0,,,...,,...
"Household characteristics","Total - Private households by number of persons per room - 25% sample data",134,   62595,,,...,,...,  227905,,,...,,...
"Household characteristics","  One person or fewer per room",,   62000,,,...,,...,  225170,,,...,,...
"Household characteristics","  More than 1 person per room",,     595,,,...,,...,    2735,,,...,,...
"Household characteristics","Total - Private households by housing suitability - 25% sample data",135,   62595,,,...,,...,  227910,,,...,,...
"Household characteristics","  Suitable",,   59840,,,...,,...,  218585,,,...,,...
"Household characteristics","  Not suitable",,    2755,,,...,,...,    9320,,,...,,...
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",136,   62595,,,...,,...,  227905,,,...,,...
"Household characteristics","  1960 or before",,   16350,,,...,,...,   35590,,,...,,...
"Household characteristics","  1961 to 1980",,   22835,,,...,,...,   55475,,,...,,...
"Household characteristics","  1981 to 1990",,    7810,,,...,,...,   42715,,,...,,...
"Household characteristics","  1991 to 2000",,    5045,,,...,,...,   35305,,,...,,...
"Household characteristics","  2001 to 2005",,    3220,,,...,,...,   23420,,,...,,...
"Household characteristics","  2006 to 2010",,    3925,,,...,,...,   20630,,,...,,...
"Household characteristics","  2011 to 2016",137,    3400,,,...,,...,   14775,,,...,,...
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",138,   62595,,,...,,...,  227905,,,...,,...
"Household characteristics","  Only regular maintenance or minor repairs needed",,   58045,,,...,,...,  216955,,,...,,...
"Household characteristics","  Major repairs needed",,    4555,,,...,,...,   10950,,,...,,...
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",139,   62595,,,...,,...,  227910,,,...,,...
"Household characteristics","  1 household maintainer",,   37330,,,...,,...,  119795,,,...,,...
"Household characteristics","  2 household maintainers",,   23455,,,...,,...,  101615,,,...,,...
"Household characteristics","  3 or more household maintainers",,    1810,,,...,,...,    6490,,,...,,...
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",140,   62595,,,...,,...,  227905,,,...,,...
"Household characteristics","  15 to 24 years",,    1360,,,...,,...,    2560,,,...,,...
"Household characteristics","  25 to 34 years",,    8295,,,...,,...,   25430,,,...,,...
"Household characteristics","  35 to 44 years",,   10470,,,...,,...,   42405,,,...,,...
"Household characteristics","  45 to 54 years",,   13460,,,...,,...,   55920,,,...,,...
"Household characteristics","  55 to 64 years",,   12695,,,...,,...,   48680,,,...,,...
"Household characteristics","  65 to 74 years",,    8960,,,...,,...,   30790,,,...,,...
"Household characteristics","  75 to 84 years",,    5295,,,...,,...,   16435,,,...,,...
"Household characteristics","  85 years and over",,    2055,,,...,,...,    5685,,,...,,...
"Household characteristics","Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",141,   62545,,,...,,...,  226605,,,...,,...
"Household characteristics","  Spending less than 30% of income on shelter costs",,   43970,,,...,,...,  169715,,,...,,...
"Household characteristics","  Spending 30% or more of income on shelter costs",,   18575,,,...,,...,   56895,,,...,,...
"Household characteristics","    30% to less than 100%",,   16750,,,...,,...,   51055,,,...,,...
"Household characteristics","Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data",,   42850,,,...,,...,  183910,,,...,,...
"Household characteristics","  % of owner households with a mortgage",142, 67.3,,,...,,..., 68.6,,,...,,...
"Household characteristics","  % of owner households spending 30% or more of its income on shelter costs",141, 20.2,,,...,,..., 19.9,,,...,,...
"Household characteristics","  Median monthly shelter costs for owned dwellings ($)",143,    1396,,,...,,...,    1599,,,...,,...
"Household characteristics","  Average monthly shelter costs for owned dwellings ($)",143,    1423,,,...,,...,    1622,,,...,,...
"Household characteristics","  Median value of dwellings ($)",144,  370343,,,...,,...,  450398,,,...,,...
"Household characteristics","  Average value of dwellings ($)",144,  397934,,,...,,...,  503610,,,...,,...
