Municipality;;Phone;;Residential;Multi Res.;Comm;Industrial;;200000;225000;250000
Ajax;;905-683-4550 x 361;;1.266193;2.200448;2.698869;3.936501;;2532.39;2848.93;3165.48
Aurora;;905-727-3123 x 4747;;;;;;; -   ; -   ; -   
Barrie;(Urban);705-739-4230;;;;;;; -   ; -   ; -   
Bradford;;905-775-5303;;;;;;; -   ; -   ; -   
Brampton;;905-874-2200;;;;;;; -   ; -   ; -   
Brock;;705-432-2355;;;;;;; -   ; -   ; -   
Burlington;(Urban);905-335-7750;;;;;;; -   ; -   ; -   
Burlington;(Rural);;;;;;;; -   ; -   ; -   
Caledon;;905-584-2272x7750;;;;;;; -   ; -   ; -   
Clarington;;905-623-3379;;1.329688;2.318962;2.790937;4.079987;;2659.38;2991.8;3324.22
Collingwood;;705-445-1030;;;;;;; -   ; -   ; -   
East Gwillimbury;;905-478-4282 x229;;;;;;; -   ; -   ; -   
Georgina;;905-476-4301;;;;;;; -   ; -   ; -   
Halton Hills;(Urban);905-873-2600x2930;;;;;;; -   ; -   ; -   
Halton Hills;(Rural);;;;;;;; -   ; -   ; -   
King;;905-833-5321;;;;;;; -   ; -   ; -   
Markham;;905-475-4864;;0.782769;0.782769;1.67335;1.960575;;1565.54;1761.23;1956.92
Milton;(Urban);905-878-7252x2193;;;;;;; -   ; -   ; -   
Milton;(Rural);;;;;;;; -   ; -   ; -   
Mississauga;;905-615-4311;;0.874348;1.408863;2.025024;2.370965;;1748.7;1967.28;2185.87
New Tecumseh;;705-435-6219;;;;;;; -   ; -   ; -   
Newmarket;;905-953-5317;;;;;;; -   ; -   ; -   
Oakville;;905-338-4222;;;;;;; -   ; -   ; -   
Orangeville;;519-941-9569;;;;;;; -   ; -   ; -   
Orillia;;705-329-7239;;;;;;; -   ; -   ; -   
Oshawa;;905-725-3356;;1.561085;2.750863;3.126463;4.602897;;3122.17;3512.44;3902.71
Pickering;;905-420-4614;;1.266145;2.200359;2.6988;3.936392;;2532.29;2848.83;3165.36
Richmond Hill;;905-771-8949;;0.810898;0.081898;1.704776;1.997491;;1621.8;1824.52;2027.25
Scugog;;905-985-7346;;1.212689;2.100583;2.621288;3.815592;;2425.38;2728.55;3031.72
Toronto;;416-338-4829;;0.6879731;1.6401427;2.6398602;2.7057447;;1375.95;1547.94;1719.93
Uxbridge;;905-852-9181x210;;1.1165912;2.013274;2.553462;3.709885;;2233.18;2512.33;2791.48
Vaughan;;905-832-8502;;;;;;; -   ; -   ; -   
Whitby;;905-430-4304;;1.294082;2.2252502;2.739308;3.999524;;2588.16;2911.68;3235.21
Whitchurch/Stouffville;;905-640-1900;;;;;;; -   ; -   ; -   
Peterborough;;705-742-7777;;1.442483;2.630742;3.395772;3.812012;;2884.97;3245.59;3606.21
Belleville;;613-967-3243;;1.581406;3.685675;4.074116;4.844175;;3162.81;3558.16;3953.52
Kingston;;613-546-0000;;1.384036;2.745992;3.740606;4.608987;;2768.07;3114.08;3460.09
Windsor;;877-746-4311;;1.648447;4.187591;3.3300265;3.854728;;3296.894;3709.00575;4121.1175
Thunder Bay;;807-625-2230;;1.719811;4.218195;4.286832;4.854197;;3439.622;3869.57475;4299.5275
;;;;;;;© John Owen. 2016;;;;
;;;;;;;www.JohnOwen.Realtor;;;;
;;;;;;;https://johnowen.realtor/blog.html/oshawa-whitby-clarington-and-gta-property-tax-rates-2016-4393669;;;;
