"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2021 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Arnprior,**,,**,,991,b ,974,b ,14.2,d ,583,
Barrie,1.9,b ,**,,"1,427",a ,"1,398",a ,3.6,b ,"4,228",
Belleville,1.6,a ,**,,"1,147",a ,"1,095",a ,**,,"6,115",
Bracebridge T,2.0,c ,**,,"1,105",a ,"1,100",b ,**,,316,
Brantford,1.9,a ,**,,"1,192",a ,"1,149",a ,5.2,c ,"5,403",
Brighton MU,0.0,d ,**,,"1,033",a ,960,a ,**,,184,
Brock TP,**,,**,,901,a ,900,a ,-8.1,c ,99,
Brockville,3.1,d ,**,,984,a ,944,a ,**,,"2,211",
Carleton Place,4.4,d ,**,,946,b ,900,b ,**,,647,
Centre Wellington,0.8,a ,**,,"1,337",a ,"1,347",a ,57.0,a ,947,
Chatham-Kent,2.0,b ,**,,869,a ,850,a ,6.7,c ,"4,973",
Cobourg,0.8,a ,**,,"1,224",a ,"1,346",b ,5.3,c ,"1,158",
Collingwood,**,,**,,"1,186",a ,"1,085",b ,5.1,c ,561,
Cornwall,3.3,d ,**,,931,a ,888,b ,8.6,b ,"4,004",
Elliot Lake,0.0,d ,**,,779,c ,**,,**,,283,
Erin T,**,,**,,**,,**,,**,,12,
Essex T,**,,**,,825,a ,801,c ,7.4,a ,322,
Gravenhurst T,0.4,a ,**,,"1,088",a ,"1,047",b ,2.7,b ,273,
Greater Napanee T,1.4,a ,**,,944,a ,900,a ,**,,597,
Greater Sudbury / Grand Sudbury,1.6,c ,**,,"1,195",a ,"1,200",a ,8.0,c ,"13,107",
Guelph,1.9,a ,**,,"1,378",a ,"1,359",a ,3.2,b ,"8,505",
Haldimand County CY,2.7,c ,**,,956,b ,900,c ,++,,462,
Hamilton,2.8,a ,**,,"1,273",a ,"1,200",a ,3.7,b ,"47,666",
Hawkesbury,**,,**,,811,b ,767,b ,**,,713,
Huntsville T,0.0,c ,**,,"1,137",a ,"1,140",b ,3.5,d ,371,
Ingersoll,1.3,a ,**,,816,a ,800,b ,-0.5,a ,267,
Kawartha Lakes,**,,**,,"1,030",c ,958,b ,2.4,b ,"1,497",
Kenora,3.5,d ,**,,893,b ,800,c ,-3.6,d ,358,
Kincardine MU,0.0,d ,**,,"1,100",c ,"1,035",c ,**,,376,
Kingston,1.4,a ,**,,"1,373",a ,"1,292",a ,3.5,c ,"14,801",
Kitchener - Cambridge - Waterloo,2.0,a ,**,,"1,305",a ,"1,225",a ,5.5,d ,"39,539",
Lambton Shores MU,**,,**,,859,b ,840,b ,**,,140,
Leamington,0.8,a ,**,,"1,136",a ,"1,000",b ,**,,"1,456",
London,1.8,a ,**,,"1,191",a ,"1,120",a ,2.7,a ,"51,431",
Meaford MU,**,,**,,918,b ,932,b ,4.2,d ,260,
Midland,**,,**,,"1,095",c ,"1,019",b ,5.4,d ,"1,137",
Norfolk,0.9,a ,**,,855,b ,850,b ,**,,942,
North Bay,4.4,d ,**,,"1,007",a ,984,a ,3.9,d ,"3,597",
North Perth MU,7.2,c ,**,,877,a ,892,a ,++,,595,
Orillia,3.9,d ,**,,"1,136",a ,"1,100",a ,5.6,d ,"1,761",
Oshawa,2.1,a ,**,,"1,407",a ,"1,374",a ,8.3,c ,"13,115",
Ottawa,3.5,b ,**,,"1,428",a ,"1,349",a ,2.5,a ,"74,266",
Owen Sound,1.4,a ,**,,972,a ,920,a ,2.9,b ,"1,864",
Pembroke,2.5,c ,**,,995,b ,925,b ,**,,"1,046",
Petawawa,0.7,b ,**,,837,a ,800,a ,++,,401,
Peterborough,1.0,a ,**,,"1,210",a ,"1,164",a ,**,,"6,546",
Port Hope,**,,**,,"1,455",a ,"1,500",b ,**,,581,
Prince Edward County CY,1.5,d ,**,,959,b ,995,b ,++,,530,
Sarnia,2.2,a ,**,,"1,071",a ,979,a ,3.6,c ,"6,390",
Saugeen Shores T,0.0,d ,**,,"1,199",a ,"1,092",a ,6.9,b ,609,
Sault Ste. Marie,1.8,b ,**,,992,a ,964,a ,8.3,c ,"5,061",
Scugog TP,0.0,d ,**,,"1,310",a ,"1,500",a ,19.8,a ,147,
South Dundas MU,0.0,d ,**,,633,a ,603,a ,3.6,d ,329,
South Huron MU,**,,**,,682,a ,650,a ,++,,448,
St. Catharines - Niagara,1.9,a ,**,,"1,132",a ,"1,100",a ,5.4,b ,"16,944",
Stratford,1.5,b ,**,,"1,058",a ,998,a ,4.3,b ,"2,162",
The Nation / La Nation M,**,,**,,**,,**,,**,,102,
Thunder Bay,3.5,b ,**,,"1,053",a ,"1,010",a ,3.0,c ,"6,020",
Tillsonburg,2.4,b ,**,,994,a ,972,a ,**,,900,
Timmins,**,,**,,973,a ,"1,000",a ,**,,"1,821",
Toronto,4.5,a ,**,,"1,570",a ,"1,500",a ,1.0,a ,"327,970",
Trent Hills MU,**,,**,,**,,**,,**,,23,
Wasaga Beach,**,,**,,**,,**,,**,,5,
West Grey MU,**,,**,,**,,**,,**,,158,
West Nipissing / Nipissing Ouest M,0.0,c ,**,,819,a ,764,b ,++,,434,
Windsor,3.4,b ,**,,"1,057",a ,"1,044",a ,6.0,b ,"16,314",
Woodstock,1.4,a ,**,,"1,216",a ,"1,200",b ,++,,"3,258",
Ontario,3.4,a ,**,,"1,395",a ,"1,330",a ,2.8,a ,"709,341",

Notes
