Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwellings,Population; 2016,1,183314,,,...,,...,13448494,,,...,,...
Population and dwellings,Population; 2011,1,175779,,,...,,...,12851821,,,...,,...
Population and dwellings,Population percentage change; 2011 to 2016,,4.3,,,...,,...,4.6,,,...,,...
Population and dwellings,Total private dwellings,2,72535,,,...,,...,5598391,,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,71373,,,...,,...,5169174,,,...,,...
Population and dwellings,Population density per square kilometre,,987.3,,,...,,...,14.8,,,...,,...
Population and dwellings,Land area in square kilometres,,185.66,,,...,,...,908699.33,,,...,,...
Age characteristics,Total - Age groups and average age of the population - 100% data,4,183315,,87955,,95360,,13448495,,6559390,,6889105,
Age characteristics,  0 to 14 years,,30670,,15815,,14855,,2207970,,1131615,,1076350,
Age characteristics,    0 to 4 years,,9275,,4750,,4525,,697360,,357300,,340055,
Age characteristics,    5 to 9 years,,10475,,5420,,5060,,756085,,387320,,368765,
Age characteristics,    10 to 14 years,,10915,,5640,,5270,,754530,,387000,,367530,
Age characteristics,  15 to 64 years,,117330,,56865,,60465,,8988865,,4412115,,4576750,
Age characteristics,    15 to 19 years,,10730,,5500,,5230,,811670,,416730,,394945,
Age characteristics,    20 to 24 years,,10175,,5270,,4905,,894390,,457815,,436570,
Age characteristics,    25 to 29 years,,9305,,4605,,4700,,874350,,436345,,438010,
Age characteristics,    30 to 34 years,,10610,,4985,,5625,,864765,,420800,,443965,
Age characteristics,    35 to 39 years,,11795,,5605,,6185,,842485,,402900,,439585,
Age characteristics,    40 to 44 years,,13005,,6235,,6775,,871875,,418465,,453415,
Age characteristics,    45 to 49 years,,13495,,6510,,6980,,937385,,453105,,484275,
Age characteristics,    50 to 54 years,,14350,,6875,,7475,,1056345,,517170,,539175,
Age characteristics,    55 to 59 years,,13095,,6310,,6785,,989460,,482280,,507180,
Age characteristics,    60 to 64 years,,10770,,4980,,5795,,846145,,406505,,439640,
Age characteristics,  65 years and over,,35320,,15275,,20040,,2251655,,1015655,,1236000,
Age characteristics,    65 to 69 years,,10225,,4620,,5600,,737745,,352475,,385270,
Age characteristics,    70 to 74 years,,8250,,3740,,4515,,528645,,250455,,278185,
Age characteristics,    75 to 79 years,,6460,,2860,,3600,,393010,,179810,,213195,
Age characteristics,    80 to 84 years,,4960,,2095,,2865,,291185,,126825,,164360,
Age characteristics,    85 years and over,,5425,,1960,,3460,,301075,,106090,,194985,
Age characteristics,      85 to 89 years,,3400,,1365,,2035,,188470,,73045,,115425,
Age characteristics,      90 to 94 years,,1615,,495,,1120,,88390,,27400,,60990,
Age characteristics,      95 to 99 years,,355,,95,,260,,21210,,5150,,16060,
Age characteristics,      100 years and over,,50,,5,,45,,3005,,495,,2520,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,16.7,,18,,15.6,,16.4,,17.3,,15.6,
Age characteristics,  15 to 64 years,,64,,64.7,,63.4,,66.8,,67.3,,66.4,
Age characteristics,  65 years and over,,19.3,,17.4,,21,,16.7,,15.5,,17.9,
Age characteristics,    85 years and over,,3,,2.2,,3.6,,2.2,,1.6,,2.8,
Age characteristics,Average age of the population,,42.3,,40.9,,43.6,,41,,40,,41.9,
Age characteristics,Median age of the population,,43.3,,41.8,,44.6,,41.3,,40.2,,42.4,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,5,71375,,,...,,...,5169175,,,...,,...
Household and dwelling characteristics,  Single-detached house,,36745,,,...,,...,2807380,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,11570,,,...,,...,886705,,,...,,...
Household and dwelling characteristics,  Other attached dwelling,6,22995,,,...,,...,1460200,,,...,,...
Household and dwelling characteristics,    Semi-detached house,,3110,,,...,,...,289975,,,...,,...
Household and dwelling characteristics,    Row house,,13310,,,...,,...,460425,,,...,,...
Household and dwelling characteristics,    Apartment or flat in a duplex,,780,,,...,,...,176080,,,...,,...
