Topic,Characteristics,,Total
Population and dwellings,Population; 2016,,110128
Population and dwellings,Population; 2011,,84362
Population and dwellings,Population percentage change; 2011 to 2016,,30.5
Population and dwellings,Total private dwellings,,35537
Population and dwellings,Private dwellings occupied by usual residents,,34257
Population and dwellings,Population density per square kilometre,,303.2
Population and dwellings,Land area in square kilometres,,363.22
Age characteristics,Total - Age groups and average age of the population - 100% data,,110125
Age characteristics,  0 to 14 years,,28405
Age characteristics,    0 to 4 years,,9315
Age characteristics,    5 to 9 years,,10505
Age characteristics,    10 to 14 years,,8585
Age characteristics,  15 to 64 years,,71580
Age characteristics,    15 to 19 years,,6375
Age characteristics,    20 to 24 years,,5095
Age characteristics,    25 to 29 years,,5745
Age characteristics,    30 to 34 years,,8735
Age characteristics,    35 to 39 years,,10980
Age characteristics,    40 to 44 years,,10490
Age characteristics,    45 to 49 years,,8185
Age characteristics,    50 to 54 years,,6515
Age characteristics,    55 to 59 years,,5125
Age characteristics,    60 to 64 years,,4335
Age characteristics,  65 years and over,,10145
Age characteristics,    65 to 69 years,,4005
Age characteristics,    70 to 74 years,,2570
Age characteristics,    75 to 79 years,,1600
Age characteristics,    80 to 84 years,,985
Age characteristics,    85 years and over,,980
Age characteristics,      85 to 89 years,,595
Age characteristics,      90 to 94 years,,310
Age characteristics,      95 to 99 years,,60
Age characteristics,      100 years and over,,10
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,25.8
Age characteristics,  15 to 64 years,,65
Age characteristics,  65 years and over,,9.2
Age characteristics,    85 years and over,,0.9
Age characteristics,Average age of the population,,34.3
Age characteristics,Median age of the population,,35.3
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,34260
Household and dwelling characteristics,  Single-detached house,,20090
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,1550
Household and dwelling characteristics,  Other attached dwelling,,12600
Household and dwelling characteristics,    Semi-detached house,,3570
Household and dwelling characteristics,    Row house,,7425
Household and dwelling characteristics,    Apartment or flat in a duplex,,260
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,,1335
Household and dwelling characteristics,    Other single-attached house,,15
Household and dwelling characteristics,  Movable dwelling,,10
Household and dwelling characteristics,Total - Private households by household size - 100% data,,34255
Household and dwelling characteristics,  1 person,,4495
Household and dwelling characteristics,  2 persons,,8775
Household and dwelling characteristics,  3 persons,,6405
Household and dwelling characteristics,  4 persons,,8755
Household and dwelling characteristics,  5 or more persons,,5835
Household and dwelling characteristics,Number of persons in private households,,108935
Household and dwelling characteristics,Average household size,,3.2
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,,81725
Marital status,  Married or living common law,,55750
Marital status,    Married,,50270
Marital status,    Living common law,,5485
Marital status,  Not married and not living common law,,25970
