Topic,Characteristic,Total
Population and dwellings,"Population, 2021",213759
Population and dwellings,"Population, 2016",193832
Population and dwellings,"Population percentage change, 2016 to 2021",10.3
Population and dwellings,Total private dwellings,76179
Population and dwellings,Private dwellings occupied by usual residents,73558
Population and dwellings,Population density per square kilometre,1538.5
Population and dwellings,Land area in square kilometres,138.94
Age characteristics,Total - Age groups of the population - 100% data,213760
Age characteristics,  0 to 14 years,38435
Age characteristics,    0 to 4 years,9280
Age characteristics,    5 to 9 years,12875
Age characteristics,    10 to 14 years,16285
Age characteristics,  15 to 64 years,141725
Age characteristics,    15 to 19 years,16665
Age characteristics,    20 to 24 years,13375
Age characteristics,    25 to 29 years,10175
Age characteristics,    30 to 34 years,10315
Age characteristics,    35 to 39 years,12755
Age characteristics,    40 to 44 years,15105
Age characteristics,    45 to 49 years,17780
Age characteristics,    50 to 54 years,17615
Age characteristics,    55 to 59 years,15255
Age characteristics,    60 to 64 years,12680
Age characteristics,  65 years and over,33595
Age characteristics,    65 to 69 years,9665
Age characteristics,    70 to 74 years,8345
Age characteristics,    75 to 79 years,6300
Age characteristics,    80 to 84 years,4530
Age characteristics,    85 years and over,4760
Age characteristics,      85 to 89 years,2910
Age characteristics,      90 to 94 years,1455
Age characteristics,      95 to 99 years,360
Age characteristics,      100 years and over,40
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,100
Age characteristics,  0 to 14 years,18
Age characteristics,  15 to 64 years,66.3
Age characteristics,  65 years and over,15.7
Age characteristics,    85 years and over,2.2
Age characteristics,Average age of the population,40.4
Age characteristics,Median age of the population,41.6
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,73555
Household and dwelling characteristics,  Single-detached house,43130
Household and dwelling characteristics,  Semi-detached house,3310
Household and dwelling characteristics,  Other attached dwelling,
Household and dwelling characteristics,  Row house,12470
Household and dwelling characteristics,  Apartment or flat in a duplex,950
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,4680
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,8955
