Topic,Characteristic,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Population and dwellings,"Population, 2021",213759,,,...,,...,,...,,...,,...
Population and dwellings,"Population, 2016",193832,,,...,,...,,...,,...,,...
Population and dwellings,"Population percentage change, 2016 to 2021",10.3,,,...,,...,10.3,,,...,,...
Population and dwellings,Population density per square kilometre,1538.5,,,...,,...,1538.5,,,...,,...
Population and dwellings,Land area in square kilometres,138.94,,,...,,...,,...,,...,,...
Age characteristics,Total - Age groups of the population - 100% data,213760,,103480,,110280,,100,,100,,100,
Age characteristics,    20 to 24 years,13375,,6875,,6500,,6.3,,6.6,,5.9,
Age characteristics,    25 to 29 years,10175,,5175,,5000,,4.8,,5,,4.5,
Age characteristics,    30 to 34 years,10315,,4865,,5445,,4.8,,4.7,,4.9,
Age characteristics,    35 to 39 years,12755,,5870,,6885,,6,,5.7,,6.2,
Age characteristics,    40 to 44 years,15105,,6805,,8295,,7.1,,6.6,,7.5,
Age characteristics,    45 to 49 years,17780,,8410,,9370,,8.3,,8.1,,8.5,
Age characteristics,    50 to 54 years,17615,,8595,,9015,,8.2,,8.3,,8.2,
Age characteristics,    55 to 59 years,15255,,7545,,7705,,7.1,,7.3,,7,
Age characteristics,    60 to 64 years,12680,,6175,,6510,,5.9,,6,,5.9,
Age characteristics,  65 years and over,33595,,15080,,18520,,15.7,,14.6,,16.8,
Age characteristics,    65 to 69 years,9665,,4490,,5170,,4.5,,4.3,,4.7,
Age characteristics,    70 to 74 years,8345,,3760,,4580,,3.9,,3.6,,4.2,
Age characteristics,    75 to 79 years,6300,,2915,,3385,,2.9,,2.8,,3.1,
Age characteristics,    80 to 84 years,4530,,2070,,2465,,2.1,,2,,2.2,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,18,,18.9,,17.1,,18,,18.9,,17.1,
