x,y,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,STATION_NAME,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,LOCAL_MONTH,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,SNOW_ON_GROUND,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,TOTAL_RAIN,MAX_TEMPERATURE,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY_FLAG,ID
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-01 00:00:00,OAKVILLE GERARD,,M,4,1,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.1
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-02 00:00:00,OAKVILLE GERARD,,M,4,2,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.2
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-03 00:00:00,OAKVILLE GERARD,,M,4,3,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.3
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-04 00:00:00,OAKVILLE GERARD,,M,4,4,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.4
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-05 00:00:00,OAKVILLE GERARD,,M,4,5,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.5
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-06 00:00:00,OAKVILLE GERARD,,M,4,6,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.6
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-07 00:00:00,OAKVILLE GERARD,,M,4,7,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.7
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-08 00:00:00,OAKVILLE GERARD,,M,4,8,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.8
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-09 00:00:00,OAKVILLE GERARD,,M,4,9,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.9
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-10 00:00:00,OAKVILLE GERARD,,M,4,10,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.10
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-11 00:00:00,OAKVILLE GERARD,,M,4,11,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.11
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-12 00:00:00,OAKVILLE GERARD,,M,4,12,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.12
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-13 00:00:00,OAKVILLE GERARD,,M,4,13,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.13
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-14 00:00:00,OAKVILLE GERARD,,M,4,14,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.14
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-15 00:00:00,OAKVILLE GERARD,,M,4,15,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.15
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-16 00:00:00,OAKVILLE GERARD,,M,4,16,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.16
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-17 00:00:00,OAKVILLE GERARD,,M,4,17,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.17
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-18 00:00:00,OAKVILLE GERARD,,M,4,18,,1990,M,,0,,,6155PD4,,,M,0,0,,,M,,,,,,6155PD4.1990.4.18
-79.69696166666667,43.4280575,,,,,ON,M,1990-04-19 00:00:00,OAKVILLE GERARD,,M,4,19,,1990,,,0.4,,,6155PD4,,,M,0,0.4,18,,M,,,,,,6155PD4.1990.4.19
