Type,Data_Provider,Province / Territory,Link to Dataset,Dataset Name,Link to Dataset License,Licence title (if provided) ,Attribution statement (in language of origin),Licence version (if provided) ,Date last updated as of date of download / update frequency (y-m-d),Date data were obtained
Open Data,Province of Alberta,AB,https://open.alberta.ca/opendata/alberta-education-schools-and-authorities#summary,Alberta Education Schools and Authorities,http://open.alberta.ca/licence,Open Government Licence - Alberta,Contains information licensed under the Open Government Licence – Alberta.,Version 2.1,2015-05-15,2020-10-19
Other,Province of British Columbia,BC,http://www.bced.gov.bc.ca/apps/imcl/imclWeb/Home.do,BC K-12 School and District Contact Information,,,,,,2020-10-19
Other,Province of Manitoba,MB,https://www.edu.gov.mb.ca/k12/schools/index.html,Manitoba Directory of Public Schools,,,,,2019-01-01,2019-08-16
Other,Province of New Brunswick,NB,https://www.nbed.nb.ca/schooldirectory/SchoolResults.aspx?strLang=E&strLang=E,New Brunswick School Listings,,,,,,2020-10-19
Open Data,Province of New Brunswick,NB,http://www.snb.ca/geonb1/e/DC/NBPS.asp,New Brunswick Public Schools - GeoNB,http://www.snb.ca/e/2000/data-E.html,Open Government Licence – New Brunswick,Contains information licensed under the Open Government Licence – New Brunswick.,Version 2,2019-11-12,2020-10-19
Other,Province of Newfoundland and Labrador,NL,https://www.gov.nl.ca/education/faq/schooldatabase/,Download a Database of K-12 Schools,,,,,2015-05-15,2020-10-19
Other,Province of Nova Scotia,NS,http://ns-schools.ednet.ns.ca/index.shtml,Nova Scotia Directory of Public Schools,,,,,,2020-10-19
Open Data,Province of Nova Scotia,NS,https://data.novascotia.ca/Education-Primary-to-Grade-12/Recognized-Private-Schools-Granting-the-Nova-Scoti/mjkg-93xg,Recognized Private Schools Granting the Nova Scotia High School Leaving Certificate,http://novascotia.ca/opendata/licence.asp,Open Government Licence – Nova Scotia,Contains information licensed under the Open Government Licence – Nova Scotia,Version 1,2019-01-01,2019-08-16
Open Data,Province of Ontario,ON,https://data.ontario.ca/dataset/school-information-and-student-demographics,School Information and Student Demographics,https://www.ontario.ca/page/open-government-licence-ontario,Open Government Licence – Ontario,Contains information licensed under the Open Government Licence – Ontario.,Version 1,,2020-10-19
Open Data,Province of Ontario,ON,https://data.ontario.ca/dataset/private-school-contact-information,Private school contact information,https://www.ontario.ca/page/open-government-licence-ontario,Open Government Licence – Ontario,Contains information licensed under the Open Government Licence – Ontario.,Version 1,2019-11-12,2020-10-19
Open Data,Province of Prince Edward Island,PE,https://data.princeedwardisland.ca/Education-and-Community/OD0055-Public-School-Locations/aivx-75if,OD0055 Public School Locations,https://www.princeedwardisland.ca/en/information/finance/open-government-licence-prince-edward-island,Open Government Licence - Prince Edward Island,Contains information licensed under the Open Government Licence – Prince Edward Island,Version 1,,2020-10-21
Open Data,Province of Quebec,QC,https://www.donneesquebec.ca/recherche/fr/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec#avertissementTelechargement_d4196fa6_6e74_4d02_9180_a671d22ec703,LOCALISATION DES ÉTABLISSEMENTS D'ENSEIGNEMENT DU RÉSEAU SCOLAIRE AU QUÉBEC,https://www.donneesquebec.ca/fr/licence/#cc-by,CC-BY,Contient de l’information fournie par la province de Québec et visée par CC BY,,2020-10-13,2020-10-19
Other,Province of Saskatchewan,SK,https://publications.saskatchewan.ca/#/products/103514,2019-20 Active List of School Division Schools,,,,,,2020-10-20
Other,Yukon,YT,https://yukon.ca/en/education-and-schools/kindergarten-grade-12/find-school,Find a School,,,,,,2020-10-26
Other,Northwest Territories,NT,https://www.ece.gov.nt.ca/en/services/curriculum-and-school-list/directory-nwt-schools,Directory of NWT Schools,,,,,2020-10-26,2020-10-20
Other,Nunavut ,NU,https://www.gov.nu.ca/school-information,School Calendars 2020-2021,,,,,,2020-10-20
Other,Employment and Social Development Canada,N/A,https://www.canada.ca/en/employment-social-development/programs/designated-schools.html,Designated Educational Institutions,,,,,,2021-03-24
