Milton (T) — Historical Starts by Dwelling Type  
1990 to 2022 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
1990,35,0,0,154,189,
1991,16,0,0,0,16,
1992,20,0,0,0,20,
1993,27,0,0,0,27,
1994,24,0,0,0,24,
1995,24,0,0,0,24,
1996,19,0,0,0,19,
1997,14,0,0,0,14,
1998,30,0,0,12,42,
1999,41,0,0,51,92,
2000,20,0,57,0,77,
2001,717,188,287,0,"1,192",
2002,"1,129",326,310,0,"1,765",
2003,"1,126",447,400,0,"1,973",
2004,743,226,379,2,"1,350",
2005,"1,082",380,320,51,"1,833",
2006,856,156,235,0,"1,247",
2007,687,174,627,213,"1,701",
2008,"1,483",416,908,127,"2,934",
2009,"1,180",260,306,0,"1,746",
2010,793,134,449,240,"1,616",
2011,"1,041",78,436,312,"1,867",
2012,756,190,"1,045",152,"2,143",
2013,223,66,345,96,730,
2014,748,60,352,276,"1,436",
2015,388,2,310,464,"1,164",
2016,509,44,203,135,891,
2017,616,324,983,269,"2,192",
2018,384,72,372,615,"1,443",
2019,249,27,433,24,733,
2020,222,46,313,0,581,
2021,522,80,339,132,"1,073",
2022,367,0,352,358,"1,077",

Source,CMHC Starts and Completions Survey
