,,,"Vaughan, City [Census subdivision], Ontario",,,,,,"York, Regional municipality [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,  246655,,  119055,,  127605,,  905545,,  437285,,  468255,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,  234815,,  113310,,  121505,,  859850,,  414745,,  445100,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   35540,,   42197,,   30444,,   32994,,   39340,,   28446,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,  234855,,  113325,,  121530,,  860030,,  414795,,  445230,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   32383,,   37742,,   28147,,   30288,,   35405,,   26477,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,  214490,,  105610,,  108880,,  778115,,  383045,,  395075,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   35459,,   42594,,   29826,,   33297,,   40255,,   27763,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,  163880,,   70815,,   93060,,  606580,,  265135,,  341445,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    2090,,     860,,    3219,,    1953,,     903,,    3232,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,  181470,,   91375,,   90095,,  649045,,  328720,,  320325,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   38959,,   45953,,   33574,,   36290,,   42476,,   31343,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,  246660,,  119100,,  127560,,  905545,,  437285,,  468255,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,  234735,,  113270,,  121465,,  859565,,  414630,,  444930,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   53441,,   64479,,   43147,,   50867,,   60882,,   41534,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,  234755,,  113280,,  121480,,  859730,,  414685,,  445045,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   42869,,   50218,,   36015,,   41049,,   47768,,   34789,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,  213980,,  105500,,  108480,,  777375,,  383010,,  394365,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   53793,,   65278,,   42623,,   51547,,   62198,,   41204,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,  164040,,   71045,,   92990,,  607260,,  265620,,  341640,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    6303,,    5869,,    6634,,    6013,,    5350,,    6529,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,  181470,,   91500,,   89970,,  649045,,  328905,,  320140,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   53874,,   64088,,   43488,,   52177,,   61657,,   42437,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,  246655,,  119100,,  127555,,  905540,,  437290,,  468255,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,   91690,,   51310,,   40380,,  319420,,  178480,,  140940,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   60665,,   66839,,   54419,,   59914,,   65701,,   53923,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   76527,,   86319,,   64086,,   75216,,   84288,,   63728,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     91.8,,     94.3,,     88.2,,     91.6,,     94.4,,     87.9,
"Income of individuals in 2015","    Employment income (%)",29,     78.6,,     81.6,,     74.5,,     77.6,,     80.6,,     73.5,
"Income of individuals in 2015","  Government transfers (%)",30,      8.2,,      5.7,,     11.8,,      8.4,,      5.6,,     12.1,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,  246655,,  119050,,  127605,,  905545,,  437290,,  468255,
"Income of individuals in 2015","  Without total income",,   11840,,    5740,,    6105,,   45695,,   22545,,   23150,
"Income of individuals in 2015","  With total income",,  234815,,  113310,,  121500,,  859850,,  414745,,  445105,
"Income of individuals in 2015","  Percentage with total income",,     95.2,,     95.2,,     95.2,,     95.0,,     94.8,,     95.1,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   37625,,   16310,,   21315,,  153565,,   67250,,   86315,
"Income of individuals in 2015","    $10;000 to $19;999",,   38575,,   15885,,   22690,,  149160,,   63105,,   86055,
"Income of individuals in 2015","    $20;000 to $29;999",,   28560,,   12395,,   16165,,  101740,,   43910,,   57830,
"Income of individuals in 2015","    $30;000 to $39;999",,   22185,,    9975,,   12210,,   79290,,   35230,,   44060,
"Income of individuals in 2015","    $40;000 to $49;999",,   20225,,    9085,,   11145,,   71465,,   32350,,   39115,
"Income of individuals in 2015","    $50;000 to $59;999",,   17000,,    8005,,    8995,,   58740,,   27995,,   30745,
"Income of individuals in 2015","    $60;000 to $69;999",,   13995,,    7195,,    6800,,   48310,,   24785,,   23525,
"Income of individuals in 2015","    $70;000 to $79;999",,   11425,,    6220,,    5210,,   39365,,   21225,,   18135,
"Income of individuals in 2015","    $80;000 to $89;999",,    9515,,    5455,,    4060,,   33210,,   18765,,   14445,
"Income of individuals in 2015","    $90;000 to $99;999",,    8890,,    4665,,    4225,,   30600,,   16375,,   14225,
"Income of individuals in 2015","    $100;000 and over",,   26810,,   18120,,    8695,,   94415,,   63750,,   30660,
"Income of individuals in 2015","      $100;000 to $149;999",,   17125,,   10900,,    6220,,   60710,,   38970,,   21740,
"Income of individuals in 2015","      $150;000 and over",,    9685,,    7215,,    2470,,   33705,,   24785,,    8915,
