"Census Profile, 2021 Census of Population"
,,,"Vaughan, City (CY) [Census subdivision], Ontario",,
,,,"Counts",,
"Topic","Characteristic","Note","Total","Total_Flag",
"Household characteristics","Total - Private households by tenure - 25% sample data",50,103915,"",
"Household characteristics","  Owner",, 89290,"",
"Household characteristics","  Renter",, 14620,"",
"Household characteristics","  Dwelling provided by the local government, First Nation or Indian band",,     0,"",
"Household characteristics","Total - Occupied private dwellings by condominium status - 25% sample data",51,103915,"",
"Household characteristics","  Condominium",, 18835,"",
"Household characteristics","  Not condominium",, 85080,"",
"Household characteristics","Total - Occupied private dwellings by number of bedrooms - 25% sample data",52,103915,"",
"Household characteristics","  No bedrooms",,   320,"",
"Household characteristics","  1 bedroom",,  7615,"",
"Household characteristics","  2 bedrooms",, 12115,"",
"Household characteristics","  3 bedrooms",, 29865,"",
"Household characteristics","  4 or more bedrooms",, 53995,"",
"Household characteristics","Total - Occupied private dwellings by number of rooms - 25% sample data",53,103915,"",
"Household characteristics","  1 to 4 rooms",, 20330,"",
"Household characteristics","  5 rooms",, 13335,"",
"Household characteristics","  6 rooms",, 15305,"",
"Household characteristics","  7 rooms",, 14455,"",
"Household characteristics","  8 or more rooms",, 40490,"",
"Household characteristics","Average number of rooms per dwelling",,    6.9,"",
"Household characteristics","Total - Private households by number of persons per room - 25% sample data",54,103915,"",
"Household characteristics","  One person or fewer per room",,101010,"",
"Household characteristics","  More than one person per room",,  2910,"",
"Household characteristics","Total - Private households by housing suitability - 25% sample data",55,103915,"",
"Household characteristics","  Suitable",, 97985,"",
"Household characteristics","  Not suitable",,  5930,"",
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",56,103915,"",
"Household characteristics","  1960 or before",,  1450,"",
"Household characteristics","  1961 to 1980",,  6445,"",
"Household characteristics","  1981 to 1990",, 20700,"",
"Household characteristics","  1991 to 2000",, 23080,"",
"Household characteristics","  2001 to 2005",, 16755,"",
"Household characteristics","  2006 to 2010",, 14875,"",
"Household characteristics","  2011 to 2015",,  9720,"",
"Household characteristics","  2016 to 2021",57, 10875,"",
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",58,103915,"",
"Household characteristics","  Only regular maintenance and minor repairs needed",,101295,"",
"Household characteristics","  Major repairs needed",,  2615,"",
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",59,103915,"",
"Household characteristics","  One-maintainer household",, 39375,"",
"Household characteristics","  Two-maintainer household",, 56745,"",
"Household characteristics","  Three-or-more-maintainer household",,  7790,"",
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",60,103915,"",
"Household characteristics","  15 to 24 years",,   900,"",
"Household characteristics","  25 to 34 years",,  8920,"",
"Household characteristics","  35 to 44 years",, 18155,"",
"Household characteristics","  45 to 54 years",, 25060,"",
"Household characteristics","  55 to 64 years",, 23670,"",
"Household characteristics","  65 to 74 years",, 15240,"",
"Household characteristics","  75 to 84 years",,  8650,"",
"Household characteristics","  85 years and over",,  3325,"",
"Household characteristics","Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",61,103545,"",
"Household characteristics","  Spending less than 30% of income on shelter costs",, 74660,"",
"Household characteristics","  Spending 30% or more of income on shelter costs",, 28885,"",
"Household characteristics","    30% to less than 100%",, 25505,"",
"Household characteristics","Total - Occupied private dwellings by housing indicators - 25% sample data",62,103915,"",
"Household characteristics","  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed'",, 34915,"",
"Household characteristics","    Spending 30% or more of income on shelter costs only",, 26535,"",
"Household characteristics","    Not suitable only",,  4275,"",
"Household characteristics","    Major repairs needed only",,  1615,"",
"Household characteristics","    'Spending 30% or more of income on shelter costs' and 'not suitable'",,  1485,"",
"Household characteristics","    'Spending 30% or more of income on shelter costs' and 'major repairs needed'",,   835,"",
"Household characteristics","    'Not suitable' and 'major repairs needed'",,   135,"",
"Household characteristics","    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed'",,    30,"",
"Household characteristics","  Acceptable housing",, 69000,"",
"Household characteristics","Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",63,100165,"",
"Household characteristics","  In core need",, 10970,"",
"Household characteristics","  Not in core need",, 89195,"",
"Household characteristics","Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",, 89275,"",
"Household characteristics","  % of owner households with a mortgage",64,   59.6,"",
"Household characteristics","  % of owner households spending 30% or more of its income on shelter costs",61,   24.3,"",
"Household characteristics","  % in core housing need",63,    8.6,"",
"Household characteristics","  Median monthly shelter costs for owned dwellings ($)",65,  1980,"",
"Household characteristics","  Average monthly shelter costs for owned dwellings ($)",65,  2214,"",
"Household characteristics","  Median value of dwellings ($)",66,1200000,"",
