School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
3sixty Education,882408,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sangeeta Kumar,101,,141 Brunel Road,Mississauaga,Ontario,L4Z1X3,647-494-4340,647-494-4341,Central Region,www.3sixtyeducation.ca,Secondary,All Year Round,Site based only,No
A R S Armenian Private School,880655,Offers credits toward the Ontario Secondary School Diploma (OSSD),Raffi Sarkissian,,,50 Hallcrown Place,Toronto,Ontario,M2J1P7,416-491-2675,416-491-8559,Central Region,www.arsarmenianschool.ca,Elem/Sec,Not applicable,Site based only,No
A+ Academy of Advancement,885186,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bushra Bushra Shahrin,200,,2425 Eglinton Ave East Ave,Toronto,Ontario,M1K5G8,416-857-1654,416-907-3300,East Region,www.aplusacademy.ca,Elem/Sec,Not applicable,Online/Site Based,No
A21 Academy,669367,Offers credits toward the Ontario Secondary School Diploma (OSSD),Brevet Amy,,,8787 McHugh,Windsor,Ontario,N8S0A1,519-900-6021,,West Region,www.A21Academy.com,Elem/Sec,Not applicable,Online/Site Based,OFIS
ABC Montessori Private School,877417,,Raj Vekaria,,,305 Matheson Boulevard East,Mississauga,Ontario,L4Z1X8,905-568-8989,905-568-0958,Central Region,http://www.abcmontessori.com,Elementary,Not applicable,Site based only,No
ACE Acumen High School,884091,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yifan Li,102,,1440 Don Mills Road,Toronto,Ontario,M3B3M1,416-756-7227,416-756-2732,Central Region,www.aahs.ca,Secondary,Not applicable,Online/Site Based,Independent and private school forum
ADRABA,885298,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Aviv,,,750 Spadina Ave,Toronto,Ontario,M5S2J2,437-777-2372,,Toronto Region,www.adraba.ca,Secondary,Not applicable,Online/Site Based,No
AHLI,884144,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nicola Martis,,,27 Bernick Drive,Barrie,Ontario,L4M5C1,705-999-3512,,Central Region,www.ahli.ca,Secondary,Not applicable,Online/Site Based,No
AI-Manarat Islamic School,666320,Offers credits toward the Ontario Secondary School Diploma (OSSD),Saba Siddiqui,121,,2550 Argentia Road,Mississauga,Ontario,L5N5R1,905-997-0260,,Central Region,www.almanaratheights.com,Elem/Sec,Not applicable,Site based only,No
AIM KW School,886708,,Chantelle Aguilar,2A,,435 King Street North,Waterloo,Ontario,N2J2Z5,519-208-7300,519-208-7301,West Region,www.aimkwschool.com,Elementary,Not applicable,Site based only,No
AIM Without Limits (AWL),669075,,Suki Choi,13,,121 Granton Dr.,Richmond Hill,Ontario,L4B3N4,905-604-8226,,Central Region,www.autisminmind.org,Elementary,Not applicable,Site based only,Ontario Federation of Independent School
AIMS PLUS High School,886199,Offers credits toward the Ontario Secondary School Diploma (OSSD),Renubala Sharma,114,,284 Queen Street East,Brampton,Ontario,L6V1C2,905-497-2114,,Central Region,www.aimsplus.ca,Secondary,All Year Round,Site based only,No
AIS Elementary School (Aurora Internatio,668692,,Dianna Jiang,C,,250 Ferrier Street,Markham,Ontario,L3R2Z5,416-878-1396,,Central Region,,Elementary,Not applicable,Site based only,No
AIS School,669799,,Dianna Jiang,2,,351 Ferrier Street,Markham,Ontario,L3R5Z2,905-868-9559,905-868-9559,Central Region,www.canadaais.ca,Elem/Sec,Not applicable,Online/Site Based,No
ALIF Canada,882622,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samina Khan,4,,505 Ellesmere Road,Toronto,Ontario,M1R4E5,416-438-4141,416-439-6181,East Region,www.alifedu.ca,Elem/Sec,Not applicable,Online/Site Based,No
ARC Studio School,888147,,Megan Lelli,,,24 Sandridge Rd,Ottawa,Ontario,K1K0A8,,,East Region,www.arcstudioschool.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools (OFIS)
ASIM'School,669557,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Sima Shahid,,,5568 Creditrise Place,Mississauga,Ontario,L5M6E3,647-548-9339,,Central Region,https://creativedrivetutoring.com/,Secondary,All Year Round,Online Only,No
ASK Online Canada,668910,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sheileen Krone,,,1230 15th Sideroad Road,King City,Ontario,L7B1K5,416-735-5547,,Central Region,www.askonlinecanada.ca,Secondary,All Year Round,Online Only,No
AVRO Academy,667321,Offers credits toward the Ontario Secondary School Diploma (OSSD),Efrat Shapir,,,1640A Avenue Road,Toronto,Ontario,M5M3X9,647-352-6060,,Toronto Region,www.avroacademy.com,Secondary,All Year Round,Site based only,No
Abacus Montessori & Private School,669111,,Jayanthi Rajagopalan,,,2723 ST. CLAIR EAST AVE.,EAST YORK,Ontario,M4B1M8,416-285-0110,416-494-4650,Toronto Region,www.abacusmontessori.ca,Elementary,Not applicable,Site based only,No
"Abelard Centre for Education, The",877808,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Young,4th floor,,557 Church Street,Toronto,Ontario,M4Y2E2,416-944-0661,416-944-8902,Toronto Region,http://www.abelardschool.org/,Elem/Sec,Not applicable,Site based only,No
Above and Beyond Learning Experience Inc,665161,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michelle White,202,,1220 Stellar Drive,Newmarket,Ontario,L3Y7B9,905-953-2253,844-320-4838,Central Region,www.ablearning.org,Elem/Sec,Not applicable,Site based only,No
Abraar,878987,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nimao Ali,,,1085 Grenon Ave,Ottawa,Ontario,K2B8L7,613-820-0044,613-820-1495,East Region,http://www.abraarschool.com,Elem/Sec,All Year Round,Site based only,No
Abraar School - Elementary,889470,,Mohammed Saleem,,,70 Fieldrow Street,Ottawa,Ontario,K2G2Y7,613-226-1396,613-226-2745,East Region,www.abraarschool.com,Elementary,Not applicable,Site based only,No
Abu Huraira Center Academy,886295,,Deqa Farah,,,270 Yorkland Boulevard,Toronto,Ontario,M2J5C9,647-509-2422,,Central Region,http://ahcacademy.com/,Elementary,Not applicable,Site based only,No
Acacia International High School,668358,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ana Mohamed,103,,235 Dixon Road,Etobicoke,Ontario,M9P2M5,416-712-8864,,Central Region,www.acischool.ca,Secondary,All Year Round,Online/Site Based,No
Academia Stella Maris,884149,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephanie Montojo,,,45 des Benevoles Street,Limoges,Ontario,K0A2M0,343-883-6600,,East Region,www.academiastellamaris.ca,Elem/Sec,Not applicable,Site based only,No
"Academy for Gifted Children, The (PACE)",876330,Offers credits toward the Ontario Secondary School Diploma (OSSD),Janice Gruchy,,,12 Bond Cres,Richmond Hill,Ontario,L4E3K2,905-773-0997,905-773-4722,Central Region,http://www.pace.ca,Elem/Sec,Not applicable,Site based only,No
Academy of Enlightened Minds,883776,,Adrian Kremblewski,3rd Floor,,345 Sorauren Ave,Toronto,Ontario,M6R2G5,416-531-6463,,Toronto Region,,Elementary,Not applicable,Site based only,No
Academy of Excellence,883027,Offers credits toward the Ontario Secondary School Diploma (OSSD),Giti Fatemi,,,128 Willowdale Ave,Toronto,Ontario,M2N4Y2,416-733-9813,416-733-9813,Central Region,academyofexcellence.ca,Secondary,All Year Round,Site based only,No
Academy of Math and English,668977,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jeff McNair,103,,5101 Dundas Street West St,ETOBICOKE,Ontario,M9A5G8,416-242-9410,647-342-4034,Central Region,www.mathandenglish.com,Secondary,Not applicable,Site based only,No
Academy of New Echo Education,668797,,Di Chang,,,2716 Victoria Park Avenue,North York,Ontario,M2J4A7,647-346-3091,,East Region,www.newechoedu.com,Elementary,Not applicable,Online/Site Based,No
