Region,Board Number,Board Name,Board Type,Board Language,School Number,School Name,School Level,School Language,School Type,School Special Conditions,Suite,PO Box,Street,City,Province,Postal Code,Phone,Fax,Grade Range,Date Open,Email,Website,Board Website
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,902344,Algoma Education Connection Secondary School,Secondary,English,Public,Alternative,,,550 Northern Ave,Sault Ste Marie,Ontario,P6B4J4,705-945-7194,705-945-7173,12-Sep,07/09/2010,kahtavg@adsb.on.ca,http://www.adsb.on.ca,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,019186,Anna McCrea Public School,Elementary,English,Public,Not applicable,,,250 Mark St,Sault Ste Marie,Ontario,P6A3M7,705-945-7106,705-945-7221,JK-8,01/09/1969,lucioc@adsb.on.ca,http://www.adsb.on.ca/sites/schools/amc/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,043362,Ben R McMullin Public School,Elementary,English,Public,Not applicable,,,24 Paradise Ave,Sault Ste Marie,Ontario,P6B5K2,705-945-7108,705-945-7205,JK-8,01/09/1969,kennedj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/brm/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,054542,Blind River Public School,Elementary,English,Public,Not applicable,,,19 Hanes Ave,Blind River,Ontario,P0R1B0,705-356-7752,705-356-0271,JK-8,01/09/1969,baillas@adsb.on.ca,http://www.adsb.on.ca/sites/schools/bli/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,490822,Boreal French Immersion Public School,Elementary,English,Public,Not applicable,,,232 Northern Ave,Sault Ste Marie,Ontario,P6B4H6,705-945-7149,705-945-7349,JK-8,01/09/1969,vazc@adsb.on.ca,http://rosedale.adsb.on.ca/,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,992232,Central Algoma Adult Learning Centre,Secondary,English,Public,Continuing Education,,,135 Dawson Street,Thessalon,Ontario,P0R1L0,705-842-9191,705-842-9155,12-Sep,01/09/2002,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,648957,Central Algoma FS,Secondary,English,Public,Care/Treatment Facility,,,32 Kensington Road,Desbarats,Ontario,P0R1E0,705-782-6263,,12-Sep,01/09/2003,viitak@adsb.on.ca,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,137967,Central Algoma Intermediate School,Elementary,English,Public,Not applicable,,,32 Kensington Road,Desbarats,Ontario,P0R1E0,705-782-6263,705-782-4288,08-Jul,03/09/2013,caldbip@adsb.on.ca,http://www.adsb.on.ca/sites/schools/cis/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,285552,Central Algoma Public School,Elementary,English,Public,Not applicable,,220,5 Margaret St,Desbarats,Ontario,P0R1E0,705-782-6233,705-782-0260,JK-6,01/09/1969,,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=40,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,891347,Central Algoma Secondary School,Secondary,English,Public,Not applicable,,,32 Kensington Rd,Desbarats,Ontario,P0R1E0,705-782-6263,705-782-4288,12-Sep,01/09/1972,,http://www.adsb.on.ca/sites/schools/cas/default.aspx,http://www.adsb.on.ca
