Address,Neighbourhood,Floor Size,Latitude,Longitude,Date of Status,Price Listed,Status,Sold Price,Type of House,Bedrooms,Bathrooms,Garage,City
C - 2386 Munn's Ave ,River Oaks,1099.0,-79.722,43.47334,2024-02-26,599999.0,For Sale,,Condo Townhouse,2,2,2, Oakville
140 Cherryhurst Rd ,Rural Oakville,2250.0,-79.73742,43.47873,2024-02-26,1399000.0,Sold Conditional,1399000.0,Detached,3,4,2, Oakville
124 - 2441 Greenwich Dr ,West Oak Trails,1099.0,-79.77269,43.43541,2024-02-26,819999.0,Terminated,,Condo Townhouse,2,2,1, Oakville
214 - 65 Speers Rd ,Old Oakville,849.0,-79.68754,43.44758,2024-02-26,629900.0,Sold,610000.0,Condo Apt,1,2,1, Oakville
1246 Crawford Crt ,Eastlake,,-79.65697,43.46466,2024-02-26,4249850.0,For Sale,,Detached,4,4,2, Oakville
405 - 65 Speers Rd ,Old Oakville,749.0,-79.68754,43.44758,2024-02-26,649900.0,Sold Conditional,649900.0,Condo Apt,2,1,1, Oakville
1414 Amber Cres ,Eastlake,4250.0,-79.65759,43.47267,2024-02-26,5275000.0,For Sale,,Detached,4,7,2, Oakville
389 River Side Drive ,Old Oakville,2039.0,-79.680355,43.451558,2024-02-26,2249000.0,Sold Conditional,2249000.0,Single Family Residence,4,4,1, Oakville
310 - 2388 Khalsa Gate ,Palermo West,749.0,-79.77243,43.43237,2024-02-26,579000.0,Sold Conditional,579000.0,Condo Apt,1,1,1, Oakville
9 - 223 Rebecca St ,Old Oakville,1499.0,-79.68133,43.43762,2024-02-26,1450000.0,Sold Conditional,1450000.0,Condo Townhouse,3,4,1, Oakville
21 - 2496 Post Rd ,Uptown Core,949.0,-79.72776,43.47952,2024-02-26,659999.0,Sold Conditional,659999.0,Condo Apt,2,2,1, Oakville
1101 Goodson Cres ,Iroquois Ridge North,2750.0,-79.69917,43.48441,2024-02-26,1999900.0,For Sale,,Detached,4,4,2, Oakville
1073 Cedar Grove Blvd ,Eastlake,2250.0,-79.66569,43.46245,2024-02-26,2900000.0,For Sale,,Detached,4,3,1, Oakville
2084 Pineview Dr ,Iroquois Ridge South,3250.0,-79.69238,43.48915,2024-02-26,2100000.0,Sold Conditional,2100000.0,Detached,4,4,2, Oakville
3024 George Savage Ave ,Rural Oakville,2250.0,-79.74106,43.47025,2024-02-26,1299000.0,Sold Conditional,1299000.0,Freehold Townhouse,3,4,2, Oakville
3043 Blacktusk Common ,Rural Oakville,1300.0,-79.71818,43.49154,2024-02-26,929000.0,Sold Conditional,929000.0,Freehold Townhouse,2,3,1, Oakville
84 Chancery Lane E ,Eastlake,2750.0,-79.63148,43.47889,2024-02-26,2649000.0,Sold Conditional,2649000.0,Detached,4,3,2, Oakville
